Comment,Designator,Footprint,LCSC
1k,"R3,R4,R5",R_0402_1005Metric,C11702
2.2uF,C4,C_0402_1005Metric,C12530
100nF,"C10,C11,C12,C13,C16,C2,C20,C21,C22,C23,C3,C6,C7,C8,C9",C_0402_1005Metric,C1525
4.7nF,C19,C_0402_1005Metric,C1538
22pF,"C17,C18",C_0402_1005Metric,C1555
HRO-M-12,USB1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
RP2040,U1,RP2040,C2040
22,"R1,R2",R_0402_1005Metric,C25092
5.1k,"R6,R7",R_0402_1005Metric,C25905
1M,R8,R_0402_1005Metric,C26083
~,"MX0-1,MX0-2,MX0-3,MX0-4,MX0-5,MX0-6,MX1-0,MX1-1,MX1-10,MX1-11,MX1-2,MX1-3,MX1-4,MX1-5,MX1-6,MX1-7,MX1-8,MX1-9,MX2-0,MX2-1,MX2-10,MX2-11,MX2-2,MX2-3,MX2-4,MX2-5,MX2-6,MX2-7,MX2-8,MX2-9,MX3-0,MX3-1,MX3-10,MX3-11,MX3-2,MX3-3,MX3-4,MX3-5,MX3-6,MX3-7,MX3-8,MX3-9,MX4-0,MX4-1,MX4-10,MX4-11,MX4-2,MX4-4_0,MX4-5_0,MX4-5_1,MX4-8_0,MX4-9",SW_MX_HS_1u,C5156480
SK6812MINI-E,"LED1,LED2,LED3",LED_6028R,C524051
1uF,"C1,C14,C15,C5",C_0402_1005Metric,C52923
XC6206PxxxMR,U2,SOT-23,C5446
500mA,F1,Fuse_1206_3216Metric,C70076
74AHCT1G125,U5,SOT-23-5,C7484
D_Small,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D49,D5,D50,D51,D52,D6,D8,D9",D_SOD-123,C81598
SRV05-4,U4,SOT-23-6-routable,C85364
12MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
W25Q128JVS,U3,SOIC-8_5.23x5.23mm_P1.27mm,C97521
